id;planner algo;agents num;steps num;num task finished;throughput;avg step time
0;pibt;100;1000;2058;2,058;1
1;pibt;200;1000;2762;2,762;1
2;pibt;300;1000;2666;2,666;1
3;pibt;400;1000;2093;2,093;1
4;pibt;500;1000;1755;1,755;2
5;pibt;600;1000;1448;1,448;2
6;pibt;700;1000;1164;1,164;3
7;pibt;800;1000;794;0,794;7
0;pibt_tf;100;1000;2229;2,229;951
1;pibt_tf;200;1000;3604;3,604;951
2;pibt_tf;300;1000;3905;3,905;951
3;pibt_tf;400;1000;3669;3,669;951
4;pibt_tf;500;1000;2956;2,956;951
5;pibt_tf;600;1000;2566;2,566;951
6;pibt_tf;700;1000;2109;2,109;951
7;pibt_tf;800;1000;1611;1,611;951
0;epibt;100;1000;2251;2,251;3
1;epibt;200;1000;3714;3,714;3
2;epibt;300;1000;3827;3,827;4
3;epibt;400;1000;3600;3,6;6
4;epibt;500;1000;3204;3,204;10
5;epibt;600;1000;2915;2,915;15
6;epibt;700;1000;2443;2,443;32
7;epibt;800;1000;1744;1,744;211
0;epibt_lns;100;1000;2396;2,396;950
1;epibt_lns;200;1000;4537;4,537;950
2;epibt_lns;300;1000;6051;6,051;950
3;epibt_lns;400;1000;6557;6,557;950
4;epibt_lns;500;1000;5503;5,503;950
5;epibt_lns;600;1000;5017;5,017;950
6;epibt_lns;700;1000;4151;4,151;950
7;epibt_lns;800;1000;1877;1,877;950
0;pepibt_lns;100;1000;2405;2,405;950
1;pepibt_lns;200;1000;4540;4,54;950
2;pepibt_lns;300;1000;6090;6,09;950
3;pepibt_lns;400;1000;6964;6,964;950
4;pepibt_lns;500;1000;6582;6,582;950
5;pepibt_lns;600;1000;5659;5,659;951
6;pepibt_lns;700;1000;4917;4,917;951
7;pepibt_lns;800;1000;2321;2,321;951
0;wppl;100;1000;2160;2,16;958
1;wppl;200;1000;4393;4,393;956
2;wppl;300;1000;5245;5,245;956
3;wppl;400;1000;5581;5,581;956
4;wppl;500;1000;5441;5,441;956
5;wppl;600;1000;4624;4,624;956
6;wppl;700;1000;3165;3,165;957
7;wppl;800;1000;1502;1,502;956
